2.0092,34.045,33.317,21.344,15.458
2.1049,30.078,29.42,18.83,13.658
2.2051,26.573,25.978,16.612,12.068
2.3101,23.446,22.914,14.638,10.652
2.4201,20.675,20.201,12.891,9.3983
2.5354,18.232,17.808,11.353,8.2919
2.6561,16.077,15.7,9.9982,7.3156
2.7826,14.176,13.84,8.805,6.4543
2.9151,12.47,12.182,7.7444,5.6878
3.0539,10.958,10.715,6.8082,5.0101
3.1993,9.6299,9.4256,5.9852,4.4132
3.3516,8.4625,8.2909,5.2617,3.8873
3.5112,7.4365,7.2928,4.6256,3.424
3.6784,6.5432,6.4136,4.0606,3.0118
3.8535,5.7593,5.64,3.5631,2.6482
4.037,5.0693,4.9597,3.1265,2.3284
4.2292,4.4619,4.3615,2.7435,2.0473
4.4306,3.9273,3.8354,2.4073,1.8
4.6416,3.4535,3.3691,2.109,1.5801
4.8626,3.0363,2.9587,1.847,1.3866
5.0941,2.6695,2.5984,1.6175,1.2168
5.3367,2.3469,2.2819,1.4166,1.0678
5.5908,2.0633,2.004,1.2406,0.93698
5.857,1.8124,1.7579,1.0846,0.82076
6.1359,1.5918,1.5419,0.94805,0.71878
6.4281,1.398,1.3524,0.82867,0.62945
6.7342,1.2278,1.1861,0.72433,0.55122
7.0548,1.0783,1.0403,0.63312,0.48271
7.3907,0.94628,0.91143,0.55239,0.42185
7.7426,0.83033,0.79842,0.48189,0.36861
8.1113,0.72857,0.69942,0.42038,0.32208
8.4975,0.63928,0.61269,0.36673,0.28142
8.9022,0.56093,0.53671,0.31992,0.24589
9.326,0.49178,0.46964,0.27853,0.21434
9.7701,0.43113,0.41093,0.24248,0.18683
10.235,0.37797,0.35957,0.2111,0.16284
10.723,0.33135,0.31462,0.18377,0.14194
11.233,0.29048,0.27528,0.15998,0.12371
11.768,0.25445,0.24064,0.13899,0.10757
12.328,0.2229,0.21036,0.12076,0.093527
12.915,0.19525,0.18388,0.10492,0.081321
13.53,0.17103,0.16074,0.091155,0.070708
14.175,0.14981,0.14051,0.079185,0.061469
14.85,0.13114,0.12273,0.068662,0.053321
15.557,0.11479,0.1072,0.059537,0.046254
16.298,0.10049,0.093637,0.051626,0.040123
17.074,0.087962,0.081789,0.044765,0.034804
17.886,0.076993,0.071435,0.038808,0.030183
18.738,0.067365,0.062359,0.033585,0.026125
19.63,0.058941,0.054437,0.029066,0.022613
20.565,0.05157,0.04752,0.025155,0.019573
21.544,0.045121,0.041483,0.02177,0.016942
22.57,0.039476,0.036209,0.018834,0.014659
23.645,0.034529,0.031594,0.016269,0.012663
24.771,0.030203,0.027567,0.014053,0.010938
25.95,0.026418,0.024053,0.012139,0.0094487
27.186,0.023107,0.020988,0.010486,0.0081621
28.48,0.020211,0.018311,0.0090538,0.0070477
29.836,0.017675,0.015971,0.0078059,0.0060764
31.257,0.015457,0.01393,0.00673,0.005239
32.745,0.013518,0.01215,0.0058025,0.004517
34.305,0.011822,0.010598,0.0050028,0.0038946
35.938,0.010338,0.0092425,0.0043111,0.0033562
37.649,0.0090387,0.0080586,0.0037098,0.0028884
39.442,0.007903,0.0070263,0.0031924,0.0024858
41.32,0.00691,0.0061263,0.0027472,0.0021393
43.288,0.0060417,0.0053416,0.0023641,0.0018411
45.349,0.005282,0.0046566,0.0020331,0.0015836
47.508,0.0046169,0.0040582,0.0017461,0.0013603
49.77,0.0040355,0.0035367,0.0014996,0.0011686
52.14,0.0035273,0.0030822,0.0012879,0.0010038
54.623,0.0030831,0.0026862,0.0011061,0.00086234
57.224,0.0026945,0.0023404,0.00094923,0.00074026
59.948,0.0023543,0.0020383,0.00081355,0.0006347
62.803,0.002057,0.0017752,0.00069726,0.00054419
65.793,0.0017973,0.001546,0.0005976,0.0004666
